experiment_id,workload,signature_scheme,hash,security_level,substrate,precompile,zk_wrap,shard_size,rayon_threads,cycles,execute_wall_ms,prove_wall_ms,prove_wall_human,memory_peak_pct,status,source,measurement_date,notes,discrepancy_flag
ecdsa_secp256k1_sp1,ECDSA-secp256k1 + SHA-256,ECDSA,SHA-256,128,SP1 (BabyBear),"SECP256K1_ADD, SECP256K1_DOUBLE",none,default,default,113871,9,13600,13.6 s,n/a,measured,four_scheme_benchmark.md,2026-05-22,Classical anchor; pre-quantum,none
sphincs_proxy_sp1,SLH-DSA proxy (SHA-256 × 22 Merkle path),SLH-DSA proxy,SHA-256,128 proxy,SP1 (BabyBear),none,none,default,default,218694,7,,not measured,n/a,execute-only,four_scheme_benchmark.md,2026-05-22,Merkle path depth matches SLH-DSA-128f FORS height; not full SLH-DSA verify,none
dilithium_ntt_proxy_sp1,ML-DSA NTT proxy (17 polys × 256-coef mod 2^23),ML-DSA proxy,NTT,128 proxy,SP1 (BabyBear),none,none,default,default,29497614,459,,not measured,n/a,execute-only,four_scheme_benchmark.md,2026-05-22,Dominant ML-DSA verify shape; not full ML-DSA verify,none
loquat_lambda128_software,Loquat λ=128 in-tree software Griffin,Loquat,Griffin (Fp127² software),128,SP1 (BabyBear),none,none,default,default,518258824,3315,,not measured,n/a,execute-only,four_scheme_benchmark.md,2026-05-22,No precompile route; λ=128 not λ=80 (mismatch with PLUM cells),λ-axis mismatch with PLUM-80 cells
cell1_plum_griffin_no_precompile,PLUM-80 Griffin rv32im (Cell 1),PLUM,Griffin (Fp192 rv32im emulation),80,SP1 (BabyBear),"UINT256_MUL × 4870724",none,default,default,7082608888,40425,,DNF,n/a,DNF >3h (also OOM 1m45s on attempt 2),four_scheme_benchmark.md,2026-05-21,No Griffin precompile; multi-limb tax dominates. Projects to ~30h linearly,none
cell2_plum_griffin_with_precompile,PLUM-80 Griffin + custom precompile (Cell 2),PLUM,Griffin (Fp192 syscall via GRIFFIN_FP192_PERMUTE),80,SP1 (BabyBear),"GRIFFIN_FP192_PERMUTE × 1052, UINT256_MUL × 69396",none,default,default,125504123,1902,1950000,32.5 min,n/a,measured,four_scheme_benchmark.md sp1_plum_cell2_measurement.md,2026-05-20,Headline Cell 2 baseline; succinct STARK; NOT zero-knowledge,none
cell3_plum_sha3,PLUM-80 SHA-3 hash (Cell 3),PLUM,SHA-3 (software),80,SP1 (BabyBear),"UINT256_MUL × 69385",none,default,default,110795424,1266,798000,13.3 min,n/a,measured,sp1_plum_cell3_measurement.md,2026-05-21,Control arm; succinct STARK; NOT zero-knowledge,none
cell4_plum_aurora_stir,PLUM-Griffin in Aurora/STIR (Cell 4),PLUM,Griffin (Fp192),80 or 128 TBD,Aurora (in-SNARK),n/a,n/a (Aurora is ZK at IOP level),n/a,n/a,,,,not measured,n/a,NOT MEASURED,(planned),,Reference baseline from PLUM paper; needs measurement on M5 Pro or extrapolation from Loquat Table 2,RUN: not yet measured
zk_attempt_1_groth16_default,Cell 2 + Groth16 wrap (attempt 1),PLUM,Griffin (Fp192),80,SP1 (BabyBear),"GRIFFIN_FP192_PERMUTE",groth16,default (1<<24 = 16M),default (~18),,,,OOM,87.84%,silent OOM kill by jetsam ~90s into prove,/tmp/plum_cell2_groth16_20260526_135555.log,2026-05-26,Memory was already at 80% before prove started (other apps consuming),none (expected behavior at default tuning)
zk_attempt_2_groth16_halved,Cell 2 + Groth16 wrap (attempt 2; halved tuning),PLUM,Griffin (Fp192),80,SP1 (BabyBear),"GRIFFIN_FP192_PERMUTE",groth16,1<<21 = 2097152,8,,,,OOM,83%,silent OOM kill by jetsam ~3min into prove,/tmp/plum_cell2_groth16_v2_20260526_141816.log,2026-05-26,Apps closed; 8.25 GB available at kick; SHARD_SIZE halved,none
zk_attempt_3_plonk_quartered,Cell 2 + PLONK wrap (attempt 3; quartered tuning),PLUM,Griffin (Fp192),80,SP1 (BabyBear),"GRIFFIN_FP192_PERMUTE",plonk,1<<20 = 1048576,4,,,,OOM,81.74%,silent OOM kill by jetsam ~6min into prove,/tmp/plum_cell2_plonk_v3_20260526_143150.log,2026-05-26,PLONK instead of Groth16; quartered shard + thread tuning; still OOM,none
griffin_smoke_prove,Griffin Fp192 smoke prove (END-TO-END PASSES),n/a,Griffin (Fp192 syscall),n/a,SP1 (BabyBear),"GRIFFIN_FP192_PERMUTE",none,default,default,,,,working,n/a,passes,griffin_smoke_host.rs phase3d-stage-3 F2,2026-05-20,Confirms Griffin precompile chip works end-to-end at smoke scale,none
