epoch	utc	elapsed_s	rss_kb	rss_gib
1782631561	07:26:01	0.0	32	0.000
1782631564	07:26:04	3.1	18576	0.018
1782631567	07:26:07	6.1	18576	0.018
1782631570	07:26:10	9.1	18864	0.018
1782631573	07:26:13	12.1	19568	0.019
1782631576	07:26:16	15.2	19728	0.019
1782631579	07:26:19	18.2	20464	0.020
1782631582	07:26:22	21.2	21312	0.020
1782631585	07:26:25	24.3	21632	0.021
1782631588	07:26:28	27.3	3075968	2.933
1782631591	07:26:31	30.4	4348016	4.147
1782631594	07:26:34	33.4	4672192	4.456
1782631597	07:26:37	36.4	7253664	6.918
1782631600	07:26:40	39.6	4799376	4.577
1782631603	07:26:43	42.8	5124928	4.888
1782631606	07:26:46	45.8	5755360	5.489
1782631610	07:26:50	49.1	5448512	5.196
1782631613	07:26:53	52.2	5235424	4.993
1782631616	07:26:56	55.2	8054960	7.682
1782631619	07:26:59	58.3	5120944	4.884
1782631622	07:27:02	61.4	4634944	4.420
1782631625	07:27:05	64.6	4440432	4.235
1782631628	07:27:08	67.6	4452416	4.246
1782631631	07:27:11	70.7	4344240	4.143
1782631634	07:27:14	73.7	4584176	4.372
1782631637	07:27:17	76.7	6835120	6.518
1782631640	07:27:20	79.8	4815632	4.593
1782631643	07:27:23	82.8	7337792	6.998
1782631646	07:27:26	85.8	11264704	10.743
1782631651	07:27:31	89.9	9411520	8.976
1782631654	07:27:34	92.9	4074672	3.886
1782631657	07:27:37	96.0	3856336	3.678
1782631660	07:27:40	99.0	4004864	3.819
1782631663	07:27:43	102.0	4402304	4.198
1782631666	07:27:46	105.3	4400528	4.197
1782631669	07:27:49	108.4	3676896	3.507
1782631672	07:27:52	111.4	2865040	2.732
1782631675	07:27:55	114.4	2889360	2.756
1782631678	07:27:58	117.5	3796512	3.621
1782631682	07:28:02	120.9	9289952	8.860
1782631685	07:28:05	124.6	4167104	3.974
1782631689	07:28:09	128.0	4173728	3.980
1782631692	07:28:12	131.1	9243504	8.815
1782631695	07:28:15	134.1	7593280	7.242
1782631698	07:28:18	137.1	5482864	5.229
1782631701	07:28:21	140.2	6855264	6.538
1782631704	07:28:24	143.2	7214288	6.880
1782631707	07:28:27	146.2	0	0.000
